exp,imp,v
Canada,Morocco,19666.961
Canada,Netherlands,425572.5420000001
Canada,Norway,4312.182
Canada,Other Asia,6348.398000000001
Canada,Peru,1531.009
Canada,Poland,1985.7420000000002
Canada,Rep. of Korea,36763.756
Canada,Romania,52744.793
Canada,Russian Federation,13806.341000000002
Canada,Saudi Arabia,1071.251
Canada,Singapore,23008.99
Canada,Slovakia,2167.5370000000003
Canada,South Africa,1577.0749999999998
Canada,Spain,44170.890999999996
Canada,Sweden,10314.079999999998
Canada,Switzerland,1791.019
Canada,Turkey,16630.142999999996
Canada,USA,23849147.595000003
Canada,United Arab Emirates,2935.1730000000002
Canada,United Kingdom,78908.99600000001
Canada,Venezuela,18141.738
Chile,Argentina,63443.565
Chile,Bolivia (Plurinational State of),186952.37500000003
Chile,Burkina Faso,1259.677
Chile,Cameroon,13164.341999999999
Chile,China,34857.771
Chile,Colombia,4783.704
Chile,CÙte d'Ivoire,6135.272
Chile,Israel,1997.944
Chile,Kenya,9974.621
Chile,Mozambique,10050.293
Chile,Panama,86297.25300000001
Chile,Paraguay,2543.937
Chile,Peru,23667.256
Chile,Singapore,22564.423
Chile,South Africa,3768.007
Chile,USA,35375.279
Chile,Uruguay,1024.878
China,Algeria,1078.734
China,Angola,1654.876
China,Antigua and Barbuda,30128.235
China,Argentina,39703.008
China,Australia,1614805.0069999998
China,Austria,5855.980999999999
China,Azerbaijan,6235.828
China,Bahamas,61955.88500000001
China,Bahrain,64302.036
China,Bangladesh,1093185.882
China,Barbados,2223.603
China,Belgium,15609.575
China,Bolivia (Plurinational State of),1373.089
China,Brazil,13971.725999999999
China,Brunei Darussalam,4711.72
China,Burkina Faso,2486.167
China,Cambodia,18335.947
China,Canada,59963.679
China,Cayman Isds,2944.3590000000004
China,Central African Rep.,12196.935
China,Chile,65797.87500000001
China,China,8238784.648999998
China,Colombia,14531.428000000002
China,Congo,1072.0210000000002
China,Costa Rica,2034.783
China,CuraÁao,2273.2329999999997
China,Cyprus,112480.91500000002
China,Czechia,2074.0200000000004
China,CÙte d'Ivoire,25353.429000000004
China,Dem. People's Rep. of Korea,18943.949999999997
China,Denmark,6503.843
China,Dominica,1522.094
China,Dominican Rep.,5372.9400000000005
China,Ecuador,36885.495
China,Egypt,1890.7830000000001
China,El Salvador,1545.713
China,Ethiopia,41035.892
China,Fiji,5908.893999999999
China,Finland,6373.544000000002
China,France,74475.51700000002
China,Germany,96742.375
China,Ghana,12923.396999999999
China,Gibraltar,1524.59
China,Greece,2018.5339999999999
China,Guatemala,15086.099000000002
China,India,371838.76900000003
China,Indonesia,314441.882
China,Iran,45735.424
China,Iraq,1064.8319999999999
China,Israel,10541.219000000001
China,Italy,40681.132999999994
China,Japan,563760.8589999999
China,Kazakhstan,2714.034
China,Kenya,7183.17
China,Kiribati,1824.105
China,Kuwait,2372.9620000000004
China,Lao People's Dem. Rep.,8235.094000000001
China,Latvia,1268.214
China,Liberia,657229.2629999999
China,Lithuania,1404.1629999999998
China,Luxembourg,8026.962
China,Malaysia,1692461.4930000002
China,Maldives,6127.996000000001
China,Malta,15763.630000000001
China,Marshall Isds,397921.999
China,Mexico,838982.427
China,Mongolia,127680.19599999998
China,Mozambique,187072.57200000004
China,Myanmar,208423.60700000002
China,Namibia,21994.187000000005
China,Netherlands,210653.48900000003
China,New Zealand,37203.15499999999
China,Nigeria,8217.214
China,Norway,3529.5220000000004
China,Oman,76022.74199999998
China,Other Asia,75689.471
China,Pakistan,51587.80300000001
China,Panama,1434204.115
China,Peru,33995.033
China,Philippines,2211798.967999999
China,Poland,37615.024000000005
China,Portugal,4785.104
China,Qatar,20187.246
China,Rep. of Korea,349198.87100000004
China,Romania,61650.978
China,Russian Federation,151717.967
China,Rwanda,1052.55
China,Saint Vincent and the Grenadines,5201.113
China,Saudi Arabia,51314.548
China,Singapore,6480641.037000001
China,South Africa,78529.29999999999
China,Spain,20736.034999999996
China,Sri Lanka,193621.78999999995
China,Sweden,10154.782
China,Switzerland,2423.844
China,Thailand,222957.61299999995
China,Togo,55352.241
China,Turkey,6646.938999999999
China,Turkmenistan,1793.308
China,Tuvalu,7791.838000000001
China,USA,800298.434
China,Uganda,1790.075
China,Ukraine,1550.0190000000002
China,United Arab Emirates,306631.738
China,United Kingdom,111921.44699999999
China,United Rep. of Tanzania,4940.376
China,Uzbekistan,2118.3390000000004
China,Vanuatu,5825.984
China,Viet Nam,1370390.0890000004
China,Zambia,1621.7590000000002
Colombia,Argentina,24527.104000000003
Colombia,Aruba,11963.309
Colombia,Barbados,1270.765
Colombia,Belgium,7171.345
Colombia,Bolivia (Plurinational State of),2950.246
Colombia,Bonaire,118736.24699999999
Colombia,Brazil,96180.15400000001
Colombia,Canada,4801.932000000001
Colombia,Chile,22315.929
Colombia,China,54686.501
Colombia,Costa Rica,6308.110000000001
Colombia,Cuba,3386.698
Colombia,CuraÁao,2630.094
Colombia,Dominican Rep.,10510.849999999999
Colombia,Ecuador,39361.188
Colombia,El Salvador,5292.505999999999
Colombia,France,17794.953
Colombia,Germany,16397.611999999997
Colombia,Gibraltar,25819.622000000003
Colombia,Guatemala,1485.6570000000002
Colombia,Malaysia,25228.52
Colombia,Mexico,85056.11700000001
Colombia,Netherlands,7017.798999999999
Colombia,Panama,46543.95
Colombia,Paraguay,2349.393
Colombia,Peru,26726.206
Colombia,Singapore,258312.292
Colombia,Spain,94369.171
Colombia,USA,1863064.486
Colombia,United Arab Emirates,30959.647999999997
Colombia,United Kingdom,28569.625999999997
Colombia,Uruguay,10869.867
Colombia,Venezuela,57597.98300000001
Congo,Belgium,16337.139
Congo,Cameroon,20220.515
Congo,France,4469.227000000001
Congo,Gabon,4156.8
Congo,Malaysia,38507.159
Congo,Netherlands,12235.865
Congo,Togo,6920.485
Congo,USA,123690.25200000001
Costa Rica,El Salvador,5565.65
Costa Rica,Panama,1968.7820000000002
Croatia,Albania,10338.294
Croatia,Algeria,54369.367999999995
Croatia,Austria,1340.642
Croatia,Bosnia Herzegovina,440258.22399999993
Croatia,Bulgaria,3581.724
Croatia,Cyprus,1216.5819999999999
Croatia,Gibraltar,174623.424
Croatia,Hungary,270681.703
Croatia,Italy,172620.6
Croatia,Lebanon,4660.157999999999
Croatia,Malta,95482.966
Croatia,Montenegro,67910.209
Croatia,Serbia,39640.081000000006
Croatia,Singapore,24733.554
Croatia,Slovakia,3526.47
Croatia,Slovenia,235673.151
Croatia,Switzerland,3611.918
Croatia,TFYR of Macedonia,2201.0380000000005
Croatia,Tunisia,38570.038
Croatia,Turkey,2616.214
Cuba,Belgium,5610.571999999999
CuraÁao,Belgium,4443.575
CuraÁao,Belize,15057.878999999999
CuraÁao,Bermuda,2664.013
CuraÁao,Bolivia (Plurinational State of),1393.983
CuraÁao,Colombia,29541.703999999998
CuraÁao,Dominican Rep.,66189.587
CuraÁao,Guatemala,33989.852
CuraÁao,Nicaragua,44718.237
CuraÁao,Other Asia,2597.144
CuraÁao,Russian Federation,1022.041
CuraÁao,Singapore,50815.885
CuraÁao,USA,61792.25199999999
Cyprus,Algeria,30170.464
Cyprus,Belgium,4087.2929999999997
Cyprus,Bulgaria,3113.678
Cyprus,Egypt,161680.979
Cyprus,Gibraltar,20252.71
Cyprus,Greece,3228.2360000000003
Cyprus,Hungary,26477.517999999996
Cyprus,Israel,12198.051000000001
Cyprus,Italy,28066.767
Cyprus,Jordan,32254.389
Cyprus,Lebanon,129275.507
Cyprus,Libya,445911.44
Cyprus,Morocco,12701.606000000002
Cyprus,Netherlands,7835.6990000000005
Cyprus,Rep. of Korea,79861.151
Cyprus,Singapore,19781.725
Cyprus,Tunisia,13543.042
Cyprus,United Kingdom,1581.882
Cyprus,Zimbabwe,4641.372
Czechia,Albania,4420.5160000000005
Czechia,Austria,435237.543
Czechia,Belgium,8555.392
Czechia,Bosnia Herzegovina,13316.274
Czechia,Bulgaria,37836.822
Czechia,Canada,1638.694
Czechia,China,10544.309
Czechia,Croatia,1368.749
Czechia,Denmark,18176.571999999996
